INSTNM,STABBR,MAIN,PREDDEG,CONTROL,CCBASIC,UG12MN,G12MN,PPTUG_EF,COSTT4,C150,CDR2,CDR3,COMP_ORIG_YR4_RT,DEBT_MDN,COMPL_RPY_1YR_RT,PPLUS_PCT_LOW,PPLUS_PCT_HIGH,PLUS_DEBT_INST_MD,PLUS_DEBT_INST_N,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN10YR_SUPP,GRAD_DEBT_MDN,MD_EARN_WNE_P6,PCT10_EARN_WNE_P6,PCT25_EARN_WNE_P6,PCT75_EARN_WNE_P6,PCT90_EARN_WNE_P6,RPY_1YR_RT,RPY_3YR_RT_SUPP,LOAN_YR4_RT,NPT4,WDRAW_ORIG_YR2_RT,RET_FT4,COUNT_NWNE_P6,COUNT_WNE_P6,LOAN_YR4_N,NOLOAN_YR4_N,PELL_YR4_N,NOPELL_YR4_N,SD_EARN_WNE_P10,MN_EARN_WNE_P10,GT_28K_P6,NUM4
Alabama A & M University,AL,1,3,1,18,5343,1165,0.0587,22489,0.2685,0.114,0.182,0.228710462,15500,0.336676218,20,25,14838,1318,0.7067,0.7503,346.3760385,33375,25200,4500,15000,36800,51400,0.173469388,0.253155427,0.9367397,14444,0.317295189,0.6087,94,1304,1155,78,1104,129,25400,35500,0.431,592
University of Alabama at Birmingham,AL,1,3,1,15,14445,10498,0.2425,24347,0.5829,0.06,0.057,0.464440079,15000,0.574557316,5,10,16145,1090,0.3632,0.5127,233.511936,22500,35100,9700,21000,50800,66200,0.451034777,0.513963161,0.897053,17005,0.203421346,0.8186,241,2727,2283,262,1669,876,39200,48400,0.631,1229
Amridge University,AL,1,3,2,20,440,527,0.5014,17680,0.4,0.071,0.11,0.060606061,10500,0.333333333,0,5,,,0.7673,0.8962,283.6806782,27334,30700,7300,15200,47200,75400,0.16017316,0.230769231,0,15322,0.578125,0,38,155,,,153,12,38600,47600,0.542,5
University of Alabama in Huntsville,AL,1,3,1,16,8145,2443,0.1443,23441,0.5187,0.077,0.059,0.434115523,14476,0.640888889,0,10,13524,386,0.2698,0.4192,224.2441068,21607,36200,9100,22700,56900,70300,0.50200267,0.54850903,0.9052347,20909,0.199227799,0.8288,144,1378,1003,105,708,400,33600,52000,0.649,585
Alabama State University,AL,1,3,1,19,4732,642,0.0666,21476,0.3001,0.132,0.203,0.259784458,18679,0.244680851,20,25,15351,1362,0.7448,0.7845,332.1058646,32000,22600,4300,13700,32100,39800,0.136110296,0.218586747,0.8899603,13043,0.301358913,0.5868,157,1754,1569,194,1591,172,21400,30600,0.351,523
The University of Alabama,AL,1,3,1,15,36237,6331,0.0836,29424,0.7188,0.066,0.051,0.569417786,17500,0.657238365,5,15,41756,3068,0.1802,0.3863,241.2956673,23250,37400,9800,23600,51500,61600,0.546711353,0.601944299,0.9213052,22232,0.116378473,0.8788,345,4836,4320,369,2421,2268,42500,51600,0.679,1267
Central Alabama Community College,AL,1,1,1,2,2417,0,0.3922,8824,0.2832,0.204,0.196,0.122270742,7678,0.27027027,0,5,,,0.4381,0.2104,129.7288534,12500,23100,4800,12900,35600,47500,0.189640769,0.251005632,0.5604076,3254,0.546468401,0.5473,234,1028,385,302,617,70,23300,32400,0.395,228
Athens State University,AL,1,3,1,22,3947,165,0.5593,0,0,0.067,0.075,0.538172716,13750,0.52690583,0,5,8098,56,0.4223,0.5079,202.3770112,19500,33400,9900,20100,45100,61200,0.431859479,0.503816794,0.8185232,0,0.188423645,0,140,1245,654,145,592,207,27500,42400,0.612,0
Auburn University at Montgomery,AL,1,3,1,18,5246,787,0.2168,18291,0.338,0.09,0.104,0.247346939,12250,0.58493353,0,10,7998,379,0.4584,0.5539,257.6518811,24826,30100,8800,18000,42900,55900,0.382237701,0.44188862,0.9036735,12680,0.250673854,0.6699,137,1354,1107,118,916,309,26300,38000,0.546,415
Auburn University,AL,1,3,1,15,25195,6650,0.0791,31282,0.7812,0.045,0.036,0.655671762,17014,0.769965278,5,10,38301,1571,0.1537,0.3169,220.8607783,21281,39500,11800,26200,55200,67000,0.683124241,0.723961298,0.9191472,23696,0.085333333,0.8999,220,3808,2285,201,1213,1273,42400,56300,0.726,1140
Birmingham-Southern College,AL,1,3,2,21,1316,0,0.004,52176,0.68,0.085,0.048,0.625550661,18500,0.767955801,10,20,30879,190,0.2214,0.4567,267.480139,25773,33400,6300,19500,48900,58300,0.702576112,0.755991285,0.9559471,25494,0.055555556,0.7994,,,217,10,102,125,37900,53100,0.618,213
Chattahoochee Valley Community College,AL,1,2,1,1,2020,0,0.4066,8750,0.2039,0.096,0.15,0.122596154,6543,0.38961039,0,5,,,0.5463,0.2156,123.823596,11931,22300,4900,12800,34000,46400,0.257075472,0.28125,0.4326923,1578,0.453396524,0.5435,124,742,360,472,777,55,20800,31300,0.35,194
